,Released,Movie,Genre,Budget,Revenue,Trailer,Year
18379,6/16/70 0:00,Two Mules for Sister Sara,Action,,5050000,,1970
1981,1/1/70 0:00,Beyond the Valley of the Dolls,Comedy,1000000,9000000,,1970
2350,7/1/70 0:00,The Boatniks,Comedy,,18607492,,1970
3157,6/24/70 0:00,Catch-22,Comedy,18000000,24911670,,1970
9760,1/1/70 0:00,Kelly's Heroes,Comedy,,5200000,,1970
16784,12/31/70 0:00,Start the Revolution Without Me,Comedy,,0,,1970
8617,12/31/70 0:00,I clowns,Documentary,,0,,1970
9877,3/24/70 0:00,King: A Filmed Record...Montgomery to Memphis,Documentary,,0,,1970
987,1/1/70 0:00,Ann och Eve - de Erotiska,Drama,,18000000,,1970
1283,2/19/70 0:00,Au Hasard Balthazar,Drama,,39388,,1970
2545,3/17/70 0:00,The Boys in the Band,Drama,,0,,1970
4398,1/1/70 0:00,Darling Lili,Drama,22000000,5000000,,1970
5591,9/9/70 0:00,L'Enfant sauvage,Drama,,62943,,1970
11274,4/23/70 0:00,A Man Called Horse,Drama,,0,,1970
12004,1/1/70 0:00,The Molly Maguires,Drama,11000000,2200000,,1970
12183,3/12/70 0:00,Mouchette,Drama,,0,,1970
18190,9/21/70 0:00,Tristana,Drama,,14586,,1970
19697,12/31/70 0:00,WUSA,Drama,,0,,1970
1508,12/31/70 0:00,The Ballad of Tam Lin,Horror,,0,,1970
1122,4/24/70 0:00,The Aristocats,Musical,,55675257,,1970
15612,12/31/70 0:00,Scrooge,Musical,,0,,1970
548,1/1/70 0:00,Airport,Thriller/Suspense,,100489150,,1970
6155,12/31/70 0:00,Figures in a Landscape,Thriller/Suspense,,0,,1970
1502,5/13/70 0:00,The Ballad of Cable Hogue,Western,3716946,3500000,,1970
3011,12/31/70 0:00,Cannon For Cordoba,Western,,0,,1970
3430,1/1/70 0:00,Chisum,Western,,6000000,,1970
15005,12/31/70 0:00,Rio Lobo,Western,,0,,1970
4817,12/17/71 0:00,Diamonds Are Forever,Action,7200000,43800000,,1971
4889,12/24/71 0:00,Dirty Harry,Action,,28153434,,1971
15874,7/2/71 0:00,Shaft,Action,,12121618,,1971
1527,4/28/71 0:00,Bananas,Comedy,2000000,0,,1971
8476,12/31/71 0:00,How to Frame a Fig,Comedy,,0,,1971
8003,6/28/71 0:00,The Hellstrom Chronicle,Documentary,,0,,1971
1795,1/1/71 0:00,The Beguiled,Drama,,1100000,,1971
3084,1/1/71 0:00,Carnal Knowledge,Drama,,28623000,,1971
3461,12/31/71 0:00,The Christian Licorice Store,Drama,,0,,1971
6614,10/9/71 0:00,The French Connection,Drama,2200000,41158757,,1971
1761,10/7/71 0:00,Bedknobs and Broomsticks,Musical,,17871174,,1971
6120,1/1/71 0:00,Fiddler on the Roof,Musical,9000000,80500000,,1971
13996,1/1/71 0:00,Play Misty for Me,Thriller/Suspense,,10600000,,1971
2035,1/1/71 0:00,Big Jake,Western,,7500000,,1971
11564,6/24/71 0:00,McCabe & Mrs. Miller,Western,,8200000,,1971
16458,12/31/71 0:00,Something Big,Western,,0,,1971
6946,12/15/72 0:00,The Getaway,Action,,36734619,,1972
5743,8/11/72 0:00,Everything You Always Wanted to Know,Comedy,2000000,18016290,,1972
19249,3/10/72 0:00,"What's Up, Doc?",Comedy,,57142740,,1972
66,11/9/72 0:00,1776,Drama,4000000,0,,1972
17930,12/31/72 0:00,Together for Days,Drama,,0,,1972
2909,2/12/72 0:00,Cabaret,Musical,,41326446,,1972
359,1/1/72 0:00,Across 110th Street,Thriller/Suspense,,10000000,,1972
6618,6/21/72 0:00,Frenzy,Thriller/Suspense,3500000,12600000,,1972
8086,12/31/72 0:00,Hickey & Boggs,Thriller/Suspense,,0,,1972
15408,7/12/72 0:00,La SamourÃ¯,Thriller/Suspense,,39481,,1972
8117,1/1/72 0:00,High Plains Drifter,Western,15700000,15700000,,1972
9482,1/1/72 0:00,Joe Kidd,Western,,6330000,,1972
10719,6/27/73 0:00,Live and Let Die,Action,7000000,35400000,,1973
11197,12/28/73 0:00,Magnum Force,Action,,44680473,,1973
19201,1/1/73 0:00,Westworld,Action,,3000000,,1973
15091,11/8/73 0:00,Robin Hood,Adventure,,32056467,,1973
16273,12/17/73 0:00,Sleeper,Comedy,2000000,18344729,,1973
797,8/11/73 0:00,American Graffiti,Drama,777000,115000000,,1973
11590,10/2/73 0:00,Mean Streets,Drama,,32645,,1973
13561,12/16/73 0:00,Papillon,Drama,,53267000,,1973
5795,12/26/73 0:00,The Exorcist,Horror,12000000,204868002,,1973
16574,12/31/73 0:00,Soylent Green,Thriller/Suspense,,0,,1973
4584,7/1/74 0:00,Death Wish,Action,,22000000,,1974
11330,12/20/74 0:00,The Man with the Golden Gun,Action,7000000,21000000,,1974
17803,1/1/74 0:00,Thunderbolt and Lightfoot,Action,,25000000,,1974
1856,11/15/74 0:00,Benji,Adventure,500000,31559560,,1974
18318,12/31/74 0:00,'Twas the Night Before Christmas,Adventure,,0,,1974
2225,1/1/74 0:00,Blazing Saddles,Comedy,2600000,119500000,,1974
2949,1/1/74 0:00,California Split,Comedy,,10000000,,1974
6680,12/17/74 0:00,The Front Page,Comedy,4000000,15000000,,1974
7498,1/1/74 0:00,The Groove Tube,Comedy,,20447000,,1974
10859,5/1/74 0:00,The Lord's of Flatbush,Comedy,,0,,1974
7920,1/1/74 0:00,Hearts and Minds,Documentary,,28287,,1974
3422,6/21/74 0:00,Chinatown,Drama,,23169837,,1974
3601,1/1/74 0:00,Claudine,Drama,,6000000,,1974
5344,1/1/74 0:00,Earthquake,Drama,,79700000,,1974
7404,3/29/74 0:00,The Great Gatsby,Drama,7000000,26533200,,1974
17578,10/18/74 0:00,The Texas Chainsaw Massacre,Horror,140000,26572439,,1974
549,10/18/74 0:00,Airport 1975,Thriller/Suspense,,47285152,,1974
3915,4/7/74 0:00,The Conversation,Thriller/Suspense,1600000,4420000,,1974
5432,1/1/75 0:00,The Eiger Sanction,Action,,14200000,,1975
17299,5/31/75 0:00,Switchblade Sisters,Action,,41058,,1975
440,12/25/75 0:00,The Adventures of the Wilderness Family,Adventure,,28819175,,1975
15917,4/1/75 0:00,Sharks' Treasure,Adventure,,2000000,,1975
406,1/1/75 0:00,The Adventure of Sherlock Holmes' Smarter Brother,Comedy,,20000000,,1975
1081,7/1/75 0:00,The Apple Dumpling Gang,Comedy,,31916500,,1975
10931,6/10/75 0:00,Love and Death,Comedy,3000000,20123742,,1975
12085,5/10/75 0:00,Monty Python and the Holy Grail,Comedy,400000,3427696,,1975
14895,5/16/75 0:00,The Return of the Pink Panther,Comedy,,41833347,,1975
16214,12/31/75 0:00,Sixpack Annie,Comedy,,0,,1975
601,1/29/75 0:00,Alice Doesn't Live Here Anymore,Drama,,17600000,,1975
1620,1/1/75 0:00,Barry Lyndon,Drama,11000000,20000000,,1975
7415,1/1/75 0:00,The Great Waldo Pepper,Drama,,20000000,,1975
14325,4/9/75 0:00,Professione: reporter,Drama,,619744,,1975
9324,6/20/75 0:00,Jaws,Horror,12000000,260000000,,1975
19395,6/1/75 0:00,The Wicker Man,Horror,,58341,,1975
1253,1/1/75 0:00,At Long Last Love,Musical,,1500000,,1975
15135,9/26/75 0:00,The Rocky Horror Picture Show,Musical,1200000,139876417,,1975
9020,12/31/75 0:00,Inside Out,Thriller/Suspense,,0,,1975
489,12/1/75 0:00,Against a Crooked Sky,Western,,0,,1975
2133,1/1/75 0:00,Bite the Bullet,Western,,11000000,,1975
15202,1/1/75 0:00,Rooster Cogburn,Western,,8000000,,1975
5596,1/1/76 0:00,The Enforcer,Action,,46200000,,1976
9885,12/17/76 0:00,King Kong,Action,23000000,52614445,,1976
5934,4/9/76 0:00,Family Plot,Black Comedy,3000000,13200000,,1976
1468,4/7/76 0:00,The Bad News Bears,Comedy,,42349782,,1976
2014,6/23/76 0:00,The Big Bus,Comedy,,0,,1976
12310,1/1/76 0:00,Murder by Death,Comedy,,32511047,,1976
13921,12/15/76 0:00,The Pink Panther Strikes Again,Comedy,,33833201,,1976
16109,6/25/76 0:00,Silent Movie,Comedy,4400000,36145695,,1976
670,4/2/76 0:00,All the President's Men,Drama,,51048435,,1976
11318,5/28/76 0:00,The Man Who Fell to Earth,Drama,,89026,,1976
11817,6/18/76 0:00,Midway,Drama,,43220000,,1976
12642,1/1/76 0:00,Network,Drama,3800000,23689877,,1976
16594,4/7/76 0:00,Sparkle,Drama,,0,,1976
17447,2/8/76 0:00,Taxi Driver,Drama,1000000,28262574,,1976
3098,11/16/76 0:00,Carrie,Horror,1800000,25878153,,1976
13165,6/25/76 0:00,The Omen,Horror,2800000,48570885,,1976
360,1/1/76 0:00,Across the Great Divide,Western,,18800000,,1976
13455,1/1/76 0:00,The Outlaw Josey Wales,Western,,27000000,,1976
2665,6/15/77 0:00,A Bridge Too Far,Action,26000000,50800000,,1977
6848,1/1/77 0:00,The Gauntlet,Action,,35400000,,1977
16695,7/13/77 0:00,The Spy Who Loved Me,Action,14000000,46800000,,1977
3636,11/16/77 0:00,Close Encounters of the Third Kind,Adventure,20000000,166000000,,1977
14851,6/22/77 0:00,The Rescuers,Adventure,,48775599,,1977
16757,5/25/77 0:00,Star Wars Ep. IV: A New Hope,Adventure,11000000,460998007,,1977
999,4/20/77 0:00,Annie Hall,Comedy,4000000,38251425,,1977
6569,1/21/77 0:00,Freaky Friday,Comedy,,25942000,,1977
9765,8/10/77 0:00,The Kentucky Fried Movie,Comedy,600000,15000000,,1977
13126,10/7/77 0:00,"Oh, God!",Comedy,,51061196,,1977
16337,5/27/77 0:00,Smokey and the Bandit,Comedy,,126737428,,1977
2357,1/1/77 0:00,Bobby Deerfield,Drama,,9300000,,1977
8059,11/17/77 0:00,Heroes,Drama,,33000000,,1977
9585,10/2/77 0:00,Julia,Drama,,0,,1977
10831,10/19/77 0:00,Looking for Mr. Goodbar,Drama,,16900000,,1977
15478,12/16/77 0:00,Saturday Night Fever,Drama,,139486124,,1977
18305,11/18/77 0:00,The Turning Point,Drama,,33600000,,1977
5792,6/17/77 0:00,Exorcist II: The Heretic,Horror,14000000,25011000,,1977
12692,6/22/77 0:00,"New York, New York",Musical,14000000,13800000,,1977
7279,12/21/77 0:00,The Goodbye Girl,Romantic Comedy,,83700000,,1977
550,3/11/77 0:00,Airport '77,Thriller/Suspense,,30000000,,1977
4631,6/17/77 0:00,The Deep,Thriller/Suspense,,50681884,,1977
6447,12/22/78 0:00,Force 10 from Navarone,Action,5000000,7100000,,1978
7245,1/1/78 0:00,Good Guys Wear Black,Action,,18300000,,1978
3047,1/1/78 0:00,Caravans,Adventure,14000000,1000000,,1978
17172,12/15/78 0:00,Superman,Adventure,55000000,134218018,,1978
1467,1/1/78 0:00,The Bad News Bears Go To Japan,Comedy,,14000000,,1978
2027,1/1/78 0:00,The Big Fix,Comedy,,12000000,,1978
2690,1/1/78 0:00,The Brink's Job,Comedy,,9400000,,1978
2950,12/15/78 0:00,California Suite,Comedy,,42913571,,1978
3342,6/9/78 0:00,The Cheap Detective,Comedy,,28221552,,1978
5727,12/20/78 0:00,Every Which Way but Loose,Comedy,,104268727,,1978
6497,7/14/78 0:00,Foul Play,Comedy,,40415179,,1978
7935,6/28/78 0:00,Heaven Can Wait,Comedy,,98800000,,1978
12555,7/28/78 0:00,National Lampoon's Animal House,Comedy,3000000,141600000,,1978
14934,7/21/78 0:00,Revenge of the Pink Panther,Comedy,,37337746,,1978
1965,1/1/78 0:00,Beyond and Back,Documentary,,23800000,,1978
15670,12/13/78 0:00,The Secret Life of Plants,Documentary,,0,,1978
804,1/1/78 0:00,American Hot Wax,Drama,,11000000,,1978
1921,2/9/78 0:00,The Betsy,Drama,,17700000,,1978
2574,12/22/78 0:00,Brass Target,Drama,,354797,,1978
2793,1/1/78 0:00,The Buddy Holly Story,Drama,,14363400,,1978
3124,1/1/78 0:00,Casey's Shadow,Drama,,8000000,,1978
4455,9/13/78 0:00,Days of Heaven,Drama,3000000,3446749,,1978
5858,4/13/78 0:00,F.I.S.T,Drama,11000000,20388920,,1978
7433,1/1/78 0:00,The Greek Tycoon,Drama,,14000000,,1978
8716,1/1/78 0:00,Ice Castles,Drama,,18000000,,1978
9045,8/2/78 0:00,Interiors,Drama,,10432366,,1978
18462,12/15/78 0:00,Uncle Joe Shannon,Drama,,3697,,1978
4289,6/9/78 0:00,Damien: Omen II,Horror,,24000000,,1978
7635,10/17/78 0:00,Halloween,Horror,325000,47000000,,1978
9091,12/22/78 0:00,Invasion of the Body Snatchers,Horror,,24946533,,1978
9325,6/16/78 0:00,Jaws 2,Horror,20000000,102922376,,1978
7392,6/16/78 0:00,Grease,Musical,6000000,181813770,Play,1978
16298,11/8/78 0:00,Slow Dancing in the Big City,Musical,,11335,,1978
19562,10/24/78 0:00,The Wiz,Musical,24000000,13000000,,1978
13227,2/3/78 0:00,The One and Only,Romantic Comedy,,2707679,,1978
2544,1/1/78 0:00,The Boys from Brazil,Thriller/Suspense,12000000,19000000,,1978
3760,2/1/78 0:00,Coma,Thriller/Suspense,,0,,1978
1066,8/15/79 0:00,Apocalypse Now,Action,31500000,78800000,,1979
3576,9/14/79 0:00,City on Fire,Action,,0,,1979
4190,12/21/79 0:00,Cuba,Action,,527540,,1979
6244,2/2/79 0:00,The First Great Train Robbery,Action,6000000,391942,,1979
6452,1/1/79 0:00,A Force of One,Action,,20200000,,1979
12108,6/29/79 0:00,Moonraker,Action,31000000,70300000,,1979
15132,6/15/79 0:00,Rocky 2,Action,,85182160,,1979
19051,2/9/79 0:00,The Warriors,Action,,22490000,,1979
2784,3/30/79 0:00,Buck Rogers in the 25th Century,Adventure,,0,,1979
16752,12/7/79 0:00,Star Trek: The Motion Picture,Adventure,35000000,82258456,,1979
18997,6/1/79 0:00,Wanda Nevada,Adventure,,0,,1979
72,12/14/79 0:00,1941,Comedy,32000000,34175000,,1979
866,8/10/79 0:00,Americathon,Comedy,,0,,1979
2934,3/30/79 0:00,La cage aux folles,Comedy,,18709,,1979
3289,1/1/79 0:00,Chapter Two,Comedy,,30000000,,1979
6263,11/2/79 0:00,The Fish That Saved Pittsburgh,Comedy,,12922,,1979
6655,7/13/79 0:00,The Frisco Kid,Comedy,,12000000,,1979
9378,12/14/79 0:00,The Jerk,Comedy,,73691419,,1979
10564,8/17/79 0:00,The Life of Brian,Comedy,4000000,20008693,,1979
10875,6/22/79 0:00,Lost and Found,Comedy,,1022374,,1979
11357,4/25/79 0:00,Manhattan,Comedy,,39946780,,1979
11592,6/29/79 0:00,Meatballs,Comedy,,43000000,,1979
12113,8/3/79 0:00,More American Graffiti,Comedy,,8100000,,1979
12299,6/22/79 0:00,The Muppet Movie,Comedy,,76657000,,1979
14291,5/25/79 0:00,The Prisoner of Zenda,Comedy,12500000,7000000,,1979
14675,3/2/79 0:00,Real Life,Comedy,,0,,1979
15153,12/19/79 0:00,Roller Boogie,Comedy,,775133,,1979
16223,12/31/79 0:00,"Skatetown, U.S.A.",Comedy,,0,,1979
4877,3/1/79 0:00,Dirt,Documentary,,9200000,,1979
5035,6/30/79 0:00,Dolphin,Documentary,170000,14000,,1979
7076,2/1/79 0:00,The Glacier Fox,Documentary,,3500000,,1979
497,2/9/79 0:00,Agatha,Drama,,7500000,,1979
663,12/20/79 0:00,All That Jazz,Drama,,37823676,,1979
923,10/19/79 0:00,...And Justice For All,Drama,,33300000,,1979
1813,12/19/79 0:00,Being There,Drama,,30177511,,1979
2189,10/17/79 0:00,The Black Stallion,Drama,2700000,37799643,,1979
2619,7/13/79 0:00,Breaking Away,Drama,,20000000,,1979
3260,4/4/79 0:00,The Champ,Drama,,30441738,,1979
4638,1/1/79 0:00,The Deer Hunter,Drama,15000000,50000000,,1979
5658,6/22/79 0:00,Escape from Alcatraz,Drama,,43000000,,1979
7413,10/26/79 0:00,The Great Santini,Drama,,7000000,,1979
7714,1/1/79 0:00,Hanover Street,Drama,,3000000,,1979
10039,12/19/79 0:00,Kramer vs. Kramer,Drama,,106260000,,1979
12924,3/2/79 0:00,Norma Rae,Drama,,22228000,,1979
13636,3/9/79 0:00,The Passage,Drama,,70461,,1979
14953,8/17/79 0:00,Rich Kids,Drama,,53064,,1979
15208,11/7/79 0:00,The Rose,Drama,8500000,29200000,,1979
15707,8/17/79 0:00,The Seduction of Joe Tynan,Drama,,19000000,,1979
18880,3/14/79 0:00,Voices,Drama,,27445,,1979
610,5/25/79 0:00,Alien,Horror,9000000,80930630,,1979
876,8/3/79 0:00,The Amityville Horror,Horror,,86432520,,1979
4421,4/20/79 0:00,Dawn of the Dead,Horror,1500000,5100000,,1979
2,10/5/79 0:00,10,Romantic Comedy,,52134699,,1979
694,4/27/79 0:00,An Almost Perfect Affair,Romantic Comedy,,0,,1979
10701,4/27/79 0:00,A Little Romance,Romantic Comedy,,0,,1979
3420,3/16/79 0:00,The China Syndrome,Thriller/Suspense,,35708042,,1979
10219,5/2/79 0:00,Last Embrace,Thriller/Suspense,,381119,,1979
2873,6/15/79 0:00,Butch and Sundance: The Early Days,Western,,0,,1979
2012,8/29/80 0:00,The Big Brawl,Action,,8527743,,1980
6300,12/5/80 0:00,Flash Gordon,Action,35000000,27107960,,1980
10802,5/16/80 0:00,The Long Riders,Action,10000000,15198912,,1980
11129,3/21/80 0:00,Mad Max,Action,200000,8750000,,1980
13080,1/1/80 0:00,The Octagon,Action,,19000000,,1980
2720,6/11/80 0:00,Bronco Billy,Adventure,,24265659,,1980
5536,5/21/80 0:00,Star Wars Ep. V: The Empire Strikes Back,Adventure,23000000,290271960,,1980
9165,6/13/80 0:00,The Island,Adventure,22000000,15716828,,1980
12933,4/18/80 0:00,North Sea Hijack,Adventure,,2993772,,1980
19274,3/28/80 0:00,When Time Ran Out...,Adventure,,3763988,,1980
546,7/4/80 0:00,Airplane!,Comedy,3500000,83453539,,1980
1053,12/17/80 0:00,Any Which Way You Can,Comedy,,70687344,,1980
2174,1/1/80 0:00,The Black Marble,Comedy,,2500000,,1980
2405,5/30/80 0:00,"Bon Voyage, Charlie Brown (and Don't Come Back!)",Comedy,,2013193,,1980
2919,7/25/80 0:00,Caddyshack,Comedy,6000000,39846344,,1980
3350,7/18/80 0:00,Cheech & Chong's Next Movie,Comedy,,41675194,,1980
4952,9/26/80 0:00,Divine Madness!,Comedy,,5318098,,1980
6127,8/8/80 0:00,The Fiendish Plot of Dr. Fu Manchu,Comedy,,10697276,,1980
6242,12/25/80 0:00,First Family,Comedy,,15198912,,1980
7226,5/23/80 0:00,The Gong Show Movie,Comedy,,6621520,,1980
8054,2/8/80 0:00,Hero At Large,Comedy,,15934737,,1980
8839,9/26/80 0:00,In God We Tru$t,Comedy,,5215015,,1980
10253,2/8/80 0:00,The Last Married Couple in America,Comedy,,12835544,,1980
10686,3/21/80 0:00,Little Miss Marker,Comedy,,6321392,,1980
11028,10/24/80 0:00,Loving Couples,Comedy,,2806659,,1980
12369,7/11/80 0:00,My Bodyguard,Comedy,,22482952,,1980
12819,12/19/80 0:00,Nine to Five,Comedy,,103290500,,1980
13008,5/9/80 0:00,The Nude Bomb,Comedy,,14662035,,1980
13127,10/3/80 0:00,"Oh, God! Book II",Comedy,,14504277,,1980
13129,7/11/80 0:00,Oh Heavenly Dog,Comedy,,6216067,,1980
14298,10/10/80 0:00,Private Benjamin,Comedy,15000000,69847348,,1980
15075,6/13/80 0:00,Roadie,Comedy,,4226370,,1980
16338,8/15/80 0:00,Smokey and the Bandit II,Comedy,,66132626,,1980
16769,9/26/80 0:00,Stardust Memories,Comedy,,10389003,,1980
16897,12/12/80 0:00,Stir Crazy,Comedy,,101300000,,1980
18635,6/6/80 0:00,Up the Academy,Comedy,,10000000,,1980
19287,4/25/80 0:00,Where the Buffalo Roam,Comedy,,6659377,,1980
19370,6/13/80 0:00,Wholly Moses!,Comedy,,14155617,,1980
19389,8/8/80 0:00,Why Would I Lie?,Comedy,,52473,,1980
7008,3/28/80 0:00,Gilda Live,Concert/Performance,,2261507,,1980
794,2/1/80 0:00,American Gigolo,Drama,,22743674,,1980
