"","Character","Gender","speaking_turns","Total_Words","radius","diameter","role"
"1","Admiral Raddus","male",13,128,11.3137084989848,22.6274169979695,"supporting"
"2","Announcer","male",3,46,6.78232998312527,13.5646599662505,"supporting"
"3","Antenna Computer","female",3,19,4.35889894354067,8.71779788708135,"supporting"
"4","Bail Organa","male",5,83,9.1104335791443,18.2208671582886,"supporting"
"5","Baze Malbus","male",32,168,12.9614813968157,25.9229627936314,"supporting"
"6","Blue Squadron 1","male",2,5,2.23606797749979,4.47213595499958,"supporting"
"7","Blue Squadron 2","male",1,3,1.73205080756888,3.46410161513775,"supporting"
"8","Blue Squadron 3","male",1,4,2,4,"supporting"
"9","Blue Squadron 4","male",1,6,2.44948974278318,4.89897948556636,"supporting"
"10","Bodhi Rook","male",60,820,28.6356421265527,57.2712842531054,"supporting"
"11","C3PO","male",1,13,3.60555127546399,7.21110255092798,"supporting"
"12","Captain Antilles","male",1,1,1,2,"supporting"
"13","Cassian","male",140,1355,36.8103246386119,73.6206492772238,"lead"
"14","Chirrut Imwe","male",36,420,20.4939015319192,40.9878030638384,"lead"
"15","Corvette 5","male",1,12,3.46410161513775,6.92820323027551,"supporting"
"16","Dr. Cornelius Evazan","male",1,5,2.23606797749979,4.47213595499958,"supporting"
"17","Edrio","male",4,25,5,10,"supporting"
"18","Engineers","male",2,5,2.23606797749979,4.47213595499958,"supporting"
"19","Flight Control","male",3,42,6.48074069840786,12.9614813968157,"supporting"
"20","Galen","male",21,520,22.8035085019828,45.6070170039655,"lead"
"21","Gate Control","male",5,40,6.32455532033676,12.6491106406735,"supporting"
"22","General Dodonna","male",1,4,2,4,"supporting"
"23","General Draven","male",11,206,14.3527000944073,28.7054001888146,"supporting"
"24","General Merrick","male",5,53,7.28010988928052,14.560219778561,"supporting"
"25","General Ramda","male",7,43,6.557438524302,13.114877048604,"supporting"
"26","Girl's Mother","female",1,2,1.4142135623731,2.82842712474619,"supporting"
"27","Gold Leader","male",3,33,5.74456264653803,11.4891252930761,"supporting"
"28","Governor Tarkin","male",16,284,16.8522995463527,33.7045990927054,"supporting"
"29","Imperial Assistant","male",1,17,4.12310562561766,8.24621125123532,"supporting"
"30","Imperial Assistant 2","male",6,27,5.19615242270663,10.3923048454133,"supporting"
"31","Imperial Assistant 3","male",2,18,4.24264068711928,8.48528137423857,"supporting"
"32","Imperial Controller","male",1,4,2,4,"supporting"
"33","Imperial Mission Control","male",2,16,4,8,"supporting"
"34","Imperial Mission Control 2","male",2,21,4.58257569495584,9.16515138991168,"supporting"
"35","Imperial Officer","male",4,13,3.60555127546399,7.21110255092798,"supporting"
"36","Imperial Officer 2","male",1,4,2,4,"supporting"
"37","Imperial Officer 3","male",1,5,2.23606797749979,4.47213595499958,"supporting"
"38","Imperial Pilot","male",2,6,2.44948974278318,4.89897948556636,"supporting"
"39","Imperial Pilot 2","male",1,5,2.23606797749979,4.47213595499958,"supporting"
"40","Imperial Soldiers","male",1,1,1,2,"supporting"
"41","Inspector","male",2,5,2.23606797749979,4.47213595499958,"supporting"
"42","Jyn","female",114,1045,32.3264597504892,64.6529195009785,"lead"
"43","K2SO","male",70,612,24.738633753706,49.4772675074119,"lead"
"44","Krennic","male",52,504,22.4499443206436,44.8998886412873,"lead"
"45","Leia","female",1,1,1,2,"supporting"
"46","Lieutenant Sefla","male",7,46,6.78232998312527,13.5646599662505,"supporting"
"47","Lyra","female",8,34,5.8309518948453,11.6619037896906,"supporting"
