"","Character","Gender","speaking_turns","Total_Words","radius","diameter","role"
"1","Buddy","male",26,169,13,26,"lead"
"2","Cat's Mom","female",1,2,1.4142135623731,2.82842712474619,"supporting"
"3","Chloe","female",27,284,16.8522995463527,33.7045990927054,"lead"
"4","Chloe's Mom","female",1,7,2.64575131106459,5.29150262212918,"supporting"
"5","Derick","male",4,16,4,8,"supporting"
"6","Dogcatcher 1","male",8,47,6.85565460040104,13.7113092008021,"supporting"
"7","Dogcatcher 2","male",8,41,6.40312423743285,12.8062484748657,"supporting"
"8","Dragon","male",1,3,1.73205080756888,3.46410161513775,"supporting"
"9","Duke","male",102,855,29.2403830344269,58.4807660688538,"lead"
"10","Female Corgi","female",1,4,2,4,"supporting"
"11","Female Dog","female",1,2,1.4142135623731,2.82842712474619,"supporting"
"12","Fernando","male",2,27,5.19615242270663,10.3923048454133,"supporting"
"13","Fluffy Cat","male",3,36,6,12,"supporting"
"14","Gidget","female",58,579,24.0624188310319,48.1248376620639,"lead"
"15","Gidget's Mom","female",1,6,2.44948974278318,4.89897948556636,"supporting"
"16","Gino's Dad","male",1,3,1.73205080756888,3.46410161513775,"supporting"
"17","Girl Dog Walker","female",2,6,2.44948974278318,4.89897948556636,"supporting"
"18","Guillermo","male",4,21,4.58257569495584,9.16515138991168,"supporting"
"19","Guy Playing Fetch","male",1,2,1.4142135623731,2.82842712474619,"supporting"
"20","Katie","female",12,234,15.2970585407784,30.5941170815567,"lead"
"21","Leonard's Dad","male",2,15,3.87298334620742,7.74596669241483,"supporting"
"22","Little Girl","female",4,30,5.47722557505166,10.9544511501033,"supporting"
"23","Male Cat","male",1,2,1.4142135623731,2.82842712474619,"supporting"
"24","Male Cat 2","male",2,5,2.23606797749979,4.47213595499958,"supporting"
"25","Male Dog","male",1,4,2,4,"supporting"
"26","Male Golden Retriever","male",1,5,2.23606797749979,4.47213595499958,"supporting"
"27","Male Turtle","male",1,2,1.4142135623731,2.82842712474619,"supporting"
"28","Man","male",1,2,1.4142135623731,2.82842712474619,"supporting"
"29","Maria","female",3,15,3.87298334620742,7.74596669241483,"supporting"
"30","Max","male",152,1659,40.7308237088326,81.4616474176652,"lead"
"31","Mel","male",25,201,14.1774468787578,28.3548937575157,"lead"
"32","Mel's Dad","male",1,3,1.73205080756888,3.46410161513775,"supporting"
"33","Nitro","male",2,22,4.69041575982343,9.38083151964686,"supporting"
"34","Norman","male",14,69,8.30662386291807,16.6132477258361,"supporting"
"35","Ozone","male",11,124,11.13552872566,22.2710574513201,"supporting"
"36","Peanut","male",3,11,3.3166247903554,6.6332495807108,"supporting"
"37","Peppy's Dad","male",1,2,1.4142135623731,2.82842712474619,"supporting"
"38","Pops","male",27,261,16.1554944214035,32.310988842807,"lead"
"39","Retractable Leash Dog","male",1,8,2.82842712474619,5.65685424949238,"supporting"
"40","Runty's Dad","male",1,2,1.4142135623731,2.82842712474619,"supporting"
"41","Seamonkey","male",1,10,3.16227766016838,6.32455532033676,"supporting"
"42","Shelly's Mom","female",1,4,2,4,"supporting"
"43","Snowball","male",55,1045,32.3264597504892,64.6529195009785,"lead"
"44","Sweetpea's Dad","male",1,2,1.4142135623731,2.82842712474619,"supporting"
"45","Tattoo","male",6,49,7,14,"supporting"
"46","Taxi Driver","male",1,1,1,2,"supporting"
"47","Tiberius","male",27,275,16.583123951777,33.166247903554,"lead"
"48","Woman","female",2,5,2.23606797749979,4.47213595499958,"supporting"
